Recipe 0001, score: 7101012451.
Recipe 0823, score: 3915299421.
Recipe 0824, score: 9152994214.
Recipe 0825, score: 1529942141.
Recipe 0826, score: 5299421412.
Recipe 0827, score: 2994214121.
Recipe 0828, score: 9942141211.
Recipe 0829, score: 9421412117.
Recipe 0830, score: 4214121171.
Recipe 0831, score: 2141211711.
Recipe 0832, score: 1412117112.
Recipe 0833, score: 4121171121.
Recipe 0834, score: 1211711217.
Recipe 0835, score: 2117112177.
Recipe 0836, score: 1171121772.
Recipe 0837, score: 1711217725.
Recipe 0838, score: 7112177251.
Recipe 0839, score: 1121772516.
Recipe 0840, score: 1217725161.
Recipe 0841, score: 2177251614.
Recipe 0842, score: 1772516149.
Recipe 0843, score: 7725161497.
Recipe 0844, score: 7251614976.
Recipe 0845, score: 2516149762.
Recipe 0846, score: 5161497622.
Recipe 0847, score: 1614976228.
Recipe 0848, score: 6149762282.
Recipe 0849, score: 1497622821.
Recipe 0850, score: 4976228215.
Recipe 0851, score: 9762282152.
Recipe 0852, score: 7622821521.
Recipe 0853, score: 6228215210.
Recipe 0854, score: 2282152101.
Recipe 0855, score: 2821521015.
Recipe 0856, score: 8215210159.
Recipe 0857, score: 2152101599.
Recipe 0858, score: 1521015991.
Recipe 0859, score: 5210159916.
Recipe 0860, score: 2101599162.
Recipe 0861, score: 1015991626.
Recipe 0862, score: 0159916268.
Recipe 0863, score: 1599162686.
Recipe 0864, score: 5991626868.
Recipe 0865, score: 9916268683.
Recipe 0866, score: 9162686831.
Recipe 0867, score: 1626868310.
Recipe 0868, score: 6268683109.
Recipe 0869, score: 2686831093.
Recipe 0870, score: 6868310931.
Recipe 0871, score: 8683109318.
Recipe 0872, score: 6831093187.
Recipe 0873, score: 8310931875.
Recipe 0874, score: 3109318751.
Recipe 0875, score: 1093187517.
Recipe 0876, score: 0931875178.
Recipe 0877, score: 9318751782.
Recipe 0878, score: 3187517821.
Recipe 0879, score: 1875178218.
Recipe 0880, score: 8751782181.
Recipe 0881, score: 7517821812.
Recipe 0882, score: 5178218125.
Recipe 0883, score: 1782181257.
Recipe 0884, score: 7821812571.
Recipe 0885, score: 8218125710.
Recipe 0886, score: 2181257101.
Recipe 0887, score: 1812571010.
Recipe 0888, score: 8125710102.
Recipe 0889, score: 1257101021.
Recipe 0890, score: 2571010214.
Recipe 0891, score: 5710102146.
Recipe 0892, score: 7101021461.
Recipe 0893, score: 1010214611.
Recipe 0894, score: 0102146117.
Recipe 0895, score: 1021461178.
Recipe 0896, score: 0214611781.
Recipe 0897, score: 2146117810.
Recipe 0898, score: 1461178107.
Recipe 0899, score: 4611781072.
Recipe 0900, score: 6117810723.
Recipe 0901, score: 1178107236.
Recipe 0902, score: 1781072364.
Recipe 0903, score: 7810723647.
Recipe 0904, score: 8107236476.
Recipe 0905, score: 1072364761.
Recipe 0906, score: 0723647613.
Recipe 0907, score: 7236476131.
Recipe 0908, score: 2364761319.
Recipe 0909, score: 3647613199.
Recipe 0910, score: 6476131996.
Recipe 0911, score: 4761319968.
Recipe 0912, score: 7613199681.
Recipe 0913, score: 6131996810.
Recipe 0914, score: 1319968101.
Recipe 0915, score: 3199681012.
Recipe 0916, score: 1996810121.
Recipe 0917, score: 9968101210.
Recipe 0918, score: 9681012101.
Recipe 0919, score: 6810121016.
Recipe 0920, score: 8101210161.
Recipe 0921, score: 1012101610.
Recipe 0922, score: 0121016101.
Recipe 0923, score: 1210161015.
Recipe 0924, score: 2101610151.
Recipe 0925, score: 1016101517.
Recipe 0926, score: 0161015171.
Recipe 0927, score: 1610151710.
Recipe 0928, score: 6101517101.
Recipe 0929, score: 1015171010.
Recipe 0930, score: 0151710107.
Recipe 0931, score: 1517101078.
Recipe 0932, score: 5171010781.
Recipe 0933, score: 1710107810.
Recipe 0934, score: 7101078101.
Recipe 0935, score: 1010781015.
Recipe 0936, score: 0107810151.
Recipe 0937, score: 1078101515.
Recipe 0938, score: 0781015151.
Recipe 0939, score: 7810151512.
Recipe 0940, score: 8101515129.
Recipe 0941, score: 1015151297.
Recipe 0942, score: 0151512971.
Recipe 0943, score: 1515129710.
Recipe 0944, score: 5151297101.
Recipe 0945, score: 1512971010.
Recipe 0946, score: 5129710101.
Recipe 0947, score: 1297101016.
Recipe 0948, score: 2971010161.
Recipe 0949, score: 9710101611.
Recipe 0950, score: 7101016115.
Recipe 0951, score: 1010161152.
Recipe 0952, score: 0101611521.
Recipe 0953, score: 1016115214.
Recipe 0954, score: 0161152141.
Recipe 0955, score: 1611521410.
Recipe 0956, score: 6115214101.
Recipe 0957, score: 1152141014.
Recipe 0958, score: 1521410141.
Recipe 0959, score: 5214101419.
Recipe 0960, score: 2141014192.
Recipe 0961, score: 1410141921.
Recipe 0962, score: 4101419212.
Recipe 0963, score: 1014192122.
Recipe 0964, score: 0141921223.
Recipe 0965, score: 1419212232.
Recipe 0966, score: 4192122324.
Recipe 0967, score: 1921223241.
Recipe 0968, score: 9212232410.
Recipe 0969, score: 2122324105.
Recipe 0970, score: 1223241055.
Recipe 0971, score: 2232410559.
Recipe 0972, score: 2324105591.
Recipe 0973, score: 3241055914.
Recipe 0974, score: 2410559143.
Recipe 0975, score: 4105591439.
Recipe 0976, score: 1055914391.
Recipe 0977, score: 0559143910.
Recipe 0978, score: 5591439102.
Recipe 0979, score: 5914391022.
Recipe 0980, score: 9143910225.
Recipe 0981, score: 1439102251.
Recipe 0982, score: 4391022517.
Recipe 0983, score: 3910225177.
Recipe 0984, score: 9102251775.
Recipe 0985, score: 1022517759.
Recipe 0986, score: 0225177591.
Recipe 0987, score: 2251775912.
Recipe 0988, score: 2517759122.
Recipe 0989, score: 5177591226.
Recipe 0990, score: 1775912265.
Recipe 0991, score: 7759122657.
Recipe 0992, score: 7591226577.
Recipe 0993, score: 5912265773.
Recipe 0994, score: 9122657732.
Recipe 0995, score: 1226577321.
Recipe 0996, score: 2265773216.
Recipe 0997, score: 2657732162.
Recipe 0998, score: 6577321621.
Recipe 0999, score: 5773216211.
Recipe 1000, score: 7732162111.
Recipe 1001, score: 7321621110.
Recipe 1002, score: 3216211104.
Recipe 1003, score: 2162111047.
Recipe 1004, score: 1621110477.
Recipe 1005, score: 6211104771.
Recipe 1006, score: 2111047713.
Recipe 1007, score: 1110477137.
Recipe 1008, score: 1104771373.
Recipe 1009, score: 1047713732.
Recipe 1010, score: 0477137321.
Recipe 1011, score: 4771373214.
Recipe 1012, score: 7713732142.
Recipe 1013, score: 7137321421.
Recipe 1014, score: 1373214211.
Recipe 1015, score: 3732142111.
Recipe 1016, score: 7321421112.
Recipe 1017, score: 3214211126.
Recipe 1018, score: 2142111269.
Recipe 1019, score: 1421112691.
Recipe 1020, score: 4211126915.
Recipe 1021, score: 2111269151.
Recipe 1022, score: 1112691513.
Recipe 1023, score: 1126915131.
Recipe 1024, score: 1269151311.
Recipe 1025, score: 2691513111.
Recipe 1026, score: 6915131115.
Recipe 1027, score: 9151311152.
Recipe 1028, score: 1513111522.
Recipe 1029, score: 5131115228.
Recipe 1030, score: 1311152281.
Recipe 1031, score: 3111522810.
Recipe 1032, score: 1115228109.
Recipe 1033, score: 1152281098.
Recipe 1034, score: 1522810985.
Recipe 1035, score: 5228109851.
Recipe 1036, score: 2281098513.
Recipe 1037, score: 2810985138.
Recipe 1038, score: 8109851381.
Recipe 1039, score: 1098513818.
Recipe 1040, score: 0985138181.
Recipe 1041, score: 9851381814.
Recipe 1042, score: 8513818141.
Recipe 1043, score: 5138181410.
Recipe 1044, score: 1381814101.
Recipe 1045, score: 3818141018.
Recipe 1046, score: 8181410183.
Recipe 1047, score: 1814101839.
Recipe 1048, score: 8141018391.
Recipe 1049, score: 1410183913.
Recipe 1050, score: 4101839137.
Recipe 1051, score: 1018391378.
Recipe 1052, score: 0183913789.
Recipe 1053, score: 1839137892.
Recipe 1054, score: 8391378927.
Recipe 1055, score: 3913789275.
Recipe 1056, score: 9137892759.
Recipe 1057, score: 1378927592.
Recipe 1058, score: 3789275929.
Recipe 1059, score: 7892759292.
Recipe 1060, score: 8927592921.
Recipe 1061, score: 9275929210.
Recipe 1062, score: 2759292101.
Recipe 1063, score: 7592921012.
Recipe 1064, score: 5929210121.
Recipe 1065, score: 9292101219.
Recipe 1066, score: 2921012195.
Recipe 1067, score: 9210121958.
Recipe 1068, score: 2101219581.
Recipe 1069, score: 1012195818.
Recipe 1070, score: 0121958182.
Recipe 1071, score: 1219581823.
Recipe 1072, score: 2195818231.
Recipe 1073, score: 1958182311.
Recipe 1074, score: 9581823111.
Recipe 1075, score: 5818231114.
Recipe 1076, score: 8182311141.
Recipe 1077, score: 1823111412.
Recipe 1078, score: 8231114121.
Recipe 1079, score: 2311141211.
Recipe 1080, score: 3111412111.
Recipe 1081, score: 1114121117.
Recipe 1082, score: 1141211171.
Recipe 1083, score: 1412111718.
Recipe 1084, score: 4121117185.
Recipe 1085, score: 1211171855.
Recipe 1086, score: 2111718559.
Recipe 1087, score: 1117185596.
Recipe 1088, score: 1171855965.
Recipe 1089, score: 1718559651.
Recipe 1090, score: 7185596510.
Recipe 1091, score: 1855965101.
Recipe 1092, score: 8559651010.
Recipe 1093, score: 5596510101.
Recipe 1094, score: 5965101011.
Recipe 1095, score: 9651010111.
Recipe 1096, score: 6510101114.
Recipe 1097, score: 5101011147.
Recipe 1098, score: 1010111477.
Recipe 1099, score: 0101114771.
Recipe 1100, score: 1011147716.
Recipe 1101, score: 0111477165.
Recipe 1102, score: 1114771658.
Recipe 1103, score: 1147716583.
Recipe 1104, score: 1477165836.
Recipe 1105, score: 4771658361.
Recipe 1106, score: 7716583610.
Recipe 1107, score: 7165836102.
Recipe 1108, score: 1658361021.
Recipe 1109, score: 6583610215.
Recipe 1110, score: 5836102156.
Recipe 1111, score: 8361021562.
Recipe 1112, score: 3610215621.
Recipe 1113, score: 6102156213.
Recipe 1114, score: 1021562131.
Recipe 1115, score: 0215621310.
Recipe 1116, score: 2156213107.
Recipe 1117, score: 1562131071.
Recipe 1118, score: 5621310714.
Recipe 1119, score: 6213107141.
Recipe 1120, score: 2131071411.
Recipe 1121, score: 1310714117.
Recipe 1122, score: 3107141171.
Recipe 1123, score: 1071411711.
Recipe 1124, score: 0714117110.
Recipe 1125, score: 7141171101.
Recipe 1126, score: 1411711010.
Recipe 1127, score: 4117110102.
Recipe 1128, score: 1171101021.
Recipe 1129, score: 1711010210.
Recipe 1130, score: 7110102101.
Recipe 1131, score: 1101021010.
Recipe 1132, score: 1010210102.
Recipe 1133, score: 0102101021.
Recipe 1134, score: 1021010215.
Recipe 1135, score: 0210102157.
Recipe 1136, score: 2101021571.
Recipe 1137, score: 1010215710.
Recipe 1138, score: 0102157106.
Recipe 1139, score: 1021571068.
Recipe 1140, score: 0215710689.
Recipe 1141, score: 2157106891.
Recipe 1142, score: 1571068910.
Recipe 1143, score: 5710689105.
Recipe 1144, score: 7106891054.
Recipe 1145, score: 1068910541.
Recipe 1146, score: 0689105410.
Recipe 1147, score: 6891054102.
Recipe 1148, score: 8910541021.
Recipe 1149, score: 9105410214.
Recipe 1150, score: 1054102148.
Recipe 1151, score: 0541021481.
Recipe 1152, score: 5410214810.
Recipe 1153, score: 4102148101.
Recipe 1154, score: 1021481011.
Recipe 1155, score: 0214810113.
Recipe 1156, score: 2148101131.
Recipe 1157, score: 1481011313.
Recipe 1158, score: 4810113139.
Recipe 1159, score: 8101131396.
Recipe 1160, score: 1011313968.
Recipe 1161, score: 0113139686.
Recipe 1162, score: 1131396861.
Recipe 1163, score: 1313968614.
Recipe 1164, score: 3139686142.
Recipe 1165, score: 1396861422.
Recipe 1166, score: 3968614224.
Recipe 1167, score: 9686142248.
Recipe 1168, score: 6861422481.
Recipe 1169, score: 8614224818.
Recipe 1170, score: 6142248181.
Recipe 1171, score: 1422481814.
Recipe 1172, score: 4224818141.
Recipe 1173, score: 2248181410.
Recipe 1174, score: 2481814101.
Recipe 1175, score: 4818141010.
Recipe 1176, score: 8181410102.
Recipe 1177, score: 1814101029.
Recipe 1178, score: 8141010296.
Recipe 1179, score: 1410102961.
Recipe 1180, score: 4101029612.
Recipe 1181, score: 1010296122.
Recipe 1182, score: 0102961229.
Recipe 1183, score: 1029612298.
Recipe 1184, score: 0296122985.
Recipe 1185, score: 2961229857.
Recipe 1186, score: 9612298571.
Recipe 1187, score: 6122985712.
Recipe 1188, score: 1229857122.
Recipe 1189, score: 2298571226.
Recipe 1190, score: 2985712261.
Recipe 1191, score: 9857122611.
Recipe 1192, score: 8571226116.
Recipe 1193, score: 5712261162.
Recipe 1194, score: 7122611624.
Recipe 1195, score: 1226116248.
Recipe 1196, score: 2261162481.
Recipe 1197, score: 2611624812.
Recipe 1198, score: 6116248125.
Recipe 1199, score: 1162481253.
Recipe 1200, score: 1624812532.
Recipe 1201, score: 6248125321.
Recipe 1202, score: 2481253212.
Recipe 1203, score: 4812532127.
Recipe 1204, score: 8125321271.
Recipe 1205, score: 1253212719.
Recipe 1206, score: 2532127191.
Recipe 1207, score: 5321271913.
Recipe 1208, score: 3212719132.
Recipe 1209, score: 2127191327.
Recipe 1210, score: 1271913276.
Recipe 1211, score: 2719132763.
Recipe 1212, score: 7191327636.
Recipe 1213, score: 1913276364.
Recipe 1214, score: 9132763648.
Recipe 1215, score: 1327636481.
Recipe 1216, score: 3276364810.
Recipe 1217, score: 2763648101.
Recipe 1218, score: 7636481010.
Recipe 1219, score: 6364810107.
Recipe 1220, score: 3648101071.
Recipe 1221, score: 6481010715.
Recipe 1222, score: 4810107159.
Recipe 1223, score: 8101071593.
Recipe 1224, score: 1010715935.
Recipe 1225, score: 0107159351.
Recipe 1226, score: 1071593516.
Recipe 1227, score: 0715935161.
Recipe 1228, score: 7159351616.
Recipe 1229, score: 1593516169.
Recipe 1230, score: 5935161697.
Recipe 1231, score: 9351616971.
Recipe 1232, score: 3516169711.
Recipe 1233, score: 5161697111.
Recipe 1234, score: 1616971110.
Recipe 1235, score: 6169711101.
Recipe 1236, score: 1697111011.
Recipe 1237, score: 6971110111.
Recipe 1238, score: 9711101112.
Recipe 1239, score: 7111011121.
Recipe 1240, score: 1110111214.
Recipe 1241, score: 1101112141.
Recipe 1242, score: 1011121413.
Recipe 1243, score: 0111214131.
Recipe 1244, score: 1112141311.
Recipe 1245, score: 1121413115.
Recipe 1246, score: 1214131153.
Recipe 1247, score: 2141311531.
Recipe 1248, score: 1413115310.
Recipe 1249, score: 4131153101.
Recipe 1250, score: 1311531010.
Recipe 1251, score: 3115310101.
Recipe 1252, score: 1153101012.
Recipe 1253, score: 1531010121.
Recipe 1254, score: 5310101210.
Recipe 1255, score: 3101012102.
Recipe 1256, score: 1010121022.
Recipe 1257, score: 0101210228.
Recipe 1258, score: 1012102286.
Recipe 1259, score: 0121022863.
Recipe 1260, score: 1210228632.
Recipe 1261, score: 2102286329.
Recipe 1262, score: 1022863296.
Recipe 1263, score: 0228632966.
Recipe 1264, score: 2286329661.
Recipe 1265, score: 2863296611.
Recipe 1266, score: 8632966118.
Recipe 1267, score: 6329661189.
Recipe 1268, score: 3296611899.
Recipe 1269, score: 2966118999.
Recipe 1270, score: 9661189991.
Recipe 1271, score: 6611899910.
Recipe 1272, score: 6118999102.
Recipe 1273, score: 1189991021.
Recipe 1274, score: 1899910210.
Recipe 1275, score: 8999102101.
Recipe 1276, score: 9991021013.
Recipe 1277, score: 9910210131.
Recipe 1278, score: 9102101310.
Recipe 1279, score: 1021013101.
Recipe 1280, score: 0210131015.
Recipe 1281, score: 2101310151.
Recipe 1282, score: 1013101510.
Recipe 1283, score: 0131015105.
Recipe 1284, score: 1310151051.
Recipe 1285, score: 3101510514.
Recipe 1286, score: 1015105147.
Recipe 1287, score: 0151051472.
Recipe 1288, score: 1510514722.
Recipe 1289, score: 5105147228.
Recipe 1290, score: 1051472281.
Recipe 1291, score: 0514722814.
Recipe 1292, score: 5147228149.
Recipe 1293, score: 1472281494.
Recipe 1294, score: 4722814949.
Recipe 1295, score: 7228149492.
Recipe 1296, score: 2281494921.
Recipe 1297, score: 2814949210.
Recipe 1298, score: 8149492101.
Recipe 1299, score: 1494921016.
Recipe 1300, score: 4949210162.
Recipe 1301, score: 9492101621.
Recipe 1302, score: 4921016210.
Recipe 1303, score: 9210162108.
Recipe 1304, score: 2101621081.
Recipe 1305, score: 1016210814.
Recipe 1306, score: 0162108141.
Recipe 1307, score: 1621081413.
Recipe 1308, score: 6210814131.
Recipe 1309, score: 2108141310.
Recipe 1310, score: 1081413101.
Recipe 1311, score: 0814131011.
Recipe 1312, score: 8141310116.
Recipe 1313, score: 1413101162.
Recipe 1314, score: 4131011621.
Recipe 1315, score: 1310116214.
Recipe 1316, score: 3101162142.
Recipe 1317, score: 1011621422.
Recipe 1318, score: 0116214226.
Recipe 1319, score: 1162142263.
Recipe 1320, score: 1621422631.
Recipe 1321, score: 6214226315.
Recipe 1322, score: 2142263157.
Recipe 1323, score: 1422631575.
Recipe 1324, score: 4226315751.
Recipe 1325, score: 2263157515.
Recipe 1326, score: 2631575156.
Recipe 1327, score: 6315751562.
Recipe 1328, score: 3157515629.
Recipe 1329, score: 1575156292.
Recipe 1330, score: 5751562922.
Recipe 1331, score: 7515629222.
Recipe 1332, score: 5156292222.
Recipe 1333, score: 1562922221.
Recipe 1334, score: 5629222215.
Recipe 1335, score: 6292222152.
Recipe 1336, score: 2922221521.
Recipe 1337, score: 9222215213.
Recipe 1338, score: 2222152131.
Recipe 1339, score: 2221521310.
Recipe 1340, score: 2215213107.
Recipe 1341, score: 2152131072.
Recipe 1342, score: 1521310727.
Recipe 1343, score: 5213107276.
Recipe 1344, score: 2131072761.
Recipe 1345, score: 1310727610.
Recipe 1346, score: 3107276101.
Recipe 1347, score: 1072761010.
Recipe 1348, score: 0727610103.
Recipe 1349, score: 7276101038.
Recipe 1350, score: 2761010381.
Recipe 1351, score: 7610103814.
Recipe 1352, score: 6101038142.
Recipe 1353, score: 1010381422.
Recipe 1354, score: 0103814225.
Recipe 1355, score: 1038142251.
Recipe 1356, score: 0381422510.
Recipe 1357, score: 3814225107.
Recipe 1358, score: 8142251076.
Recipe 1359, score: 1422510769.
Recipe 1360, score: 4225107695.
Recipe 1361, score: 2251076951.
Recipe 1362, score: 2510769510.
Recipe 1363, score: 5107695102.
Recipe 1364, score: 1076951026.
Recipe 1365, score: 0769510264.
Recipe 1366, score: 7695102649.
Recipe 1367, score: 6951026499.
Recipe 1368, score: 9510264992.
Recipe 1369, score: 5102649923.
Recipe 1370, score: 1026499238.
Recipe 1371, score: 0264992381.
Recipe 1372, score: 2649923813.
Recipe 1373, score: 6499238137.
Recipe 1374, score: 4992381379.
Recipe 1375, score: 9923813791.
Recipe 1376, score: 9238137914.
Recipe 1377, score: 2381379142.
Recipe 1378, score: 3813791422.
Recipe 1379, score: 8137914228.
Recipe 1380, score: 1379142281.
Recipe 1381, score: 3791422810.
Recipe 1382, score: 7914228101.
Recipe 1383, score: 9142281015.
Recipe 1384, score: 1422810158.
Recipe 1385, score: 4228101586.
Recipe 1386, score: 2281015861.
Recipe 1387, score: 2810158612.
Recipe 1388, score: 8101586128.
Recipe 1389, score: 1015861281.
Recipe 1390, score: 0158612810.
Recipe 1391, score: 1586128101.
Recipe 1392, score: 5861281016.
Recipe 1393, score: 8612810169.
Recipe 1394, score: 6128101691.
Recipe 1395, score: 1281016918.
Recipe 1396, score: 2810169188.
Recipe 1397, score: 8101691881.
Recipe 1398, score: 1016918810.
Recipe 1399, score: 0169188108.
Recipe 1400, score: 1691881087.
Recipe 1401, score: 6918810872.
Recipe 1402, score: 9188108721.
Recipe 1403, score: 1881087211.
Recipe 1404, score: 8810872112.
Recipe 1405, score: 8108721128.
Recipe 1406, score: 1087211282.
Recipe 1407, score: 0872112823.
Recipe 1408, score: 8721128233.
Recipe 1409, score: 7211282334.
Recipe 1410, score: 2112823343.
Recipe 1411, score: 1128233431.
Recipe 1412, score: 1282334310.
Recipe 1413, score: 2823343104.
Recipe 1414, score: 8233431046.
Recipe 1415, score: 2334310461.
Recipe 1416, score: 3343104611.
Recipe 1417, score: 3431046119.
Recipe 1418, score: 4310461194.
Recipe 1419, score: 3104611941.
Recipe 1420, score: 1046119410.
Recipe 1421, score: 0461194102.
Recipe 1422, score: 4611941028.
Recipe 1423, score: 6119410285.
Recipe 1424, score: 1194102851.
Recipe 1425, score: 1941028518.
Recipe 1426, score: 9410285187.
Recipe 1427, score: 4102851872.
Recipe 1428, score: 1028518725.
Recipe 1429, score: 0285187251.
Recipe 1430, score: 2851872511.
Recipe 1431, score: 8518725112.
Recipe 1432, score: 5187251122.
Recipe 1433, score: 1872511223.
Recipe 1434, score: 8725112237.
Recipe 1435, score: 7251122377.
Recipe 1436, score: 2511223771.
Recipe 1437, score: 5112237710.
Recipe 1438, score: 1122377102.
Recipe 1439, score: 1223771021.
Recipe 1440, score: 2237710210.
Recipe 1441, score: 2377102102.
Recipe 1442, score: 3771021021.
Recipe 1443, score: 7710210214.
Recipe 1444, score: 7102102141.
Recipe 1445, score: 1021021417.
Recipe 1446, score: 0210214172.
Recipe 1447, score: 2102141723.
Recipe 1448, score: 1021417231.
Recipe 1449, score: 0214172315.
Recipe 1450, score: 2141723151.
Recipe 1451, score: 1417231511.
Recipe 1452, score: 4172315111.
Recipe 1453, score: 1723151110.
Recipe 1454, score: 7231511107.
Recipe 1455, score: 2315111073.
Recipe 1456, score: 3151110731.
Recipe 1457, score: 1511107311.
Recipe 1458, score: 5111073113.
Recipe 1459, score: 1110731131.
Recipe 1460, score: 1107311310.
Recipe 1461, score: 1073113108.
Recipe 1462, score: 0731131084.
Recipe 1463, score: 7311310847.
Recipe 1464, score: 3113108473.
Recipe 1465, score: 1131084731.
Recipe 1466, score: 1310847313.
Recipe 1467, score: 3108473131.
Recipe 1468, score: 1084731311.
Recipe 1469, score: 0847313111.
Recipe 1470, score: 8473131111.
Recipe 1471, score: 4731311111.
Recipe 1472, score: 7313111114.
Recipe 1473, score: 3131111148.
Recipe 1474, score: 1311111482.
Recipe 1475, score: 3111114829.
Recipe 1476, score: 1111148294.
Recipe 1477, score: 1111482941.
Recipe 1478, score: 1114829415.
Recipe 1479, score: 1148294155.
Recipe 1480, score: 1482941551.
Recipe 1481, score: 4829415512.
Recipe 1482, score: 8294155122.
Recipe 1483, score: 2941551221.
Recipe 1484, score: 9415512211.
Recipe 1485, score: 4155122111.
Recipe 1486, score: 1551221112.
Recipe 1487, score: 5512211122.
Recipe 1488, score: 5122111222.
Recipe 1489, score: 1221112224.
Recipe 1490, score: 2211122247.
Recipe 1491, score: 2111222477.
Recipe 1492, score: 1112224771.
Recipe 1493, score: 1122247710.
Recipe 1494, score: 1222477109.
Recipe 1495, score: 2224771098.
Recipe 1496, score: 2247710981.
Recipe 1497, score: 2477109811.
Recipe 1498, score: 4771098112.
Recipe 1499, score: 7710981125.
Recipe 1500, score: 7109811255.
Recipe 1501, score: 1098112559.
Recipe 1502, score: 0981125598.
Recipe 1503, score: 9811255988.
Recipe 1504, score: 8112559881.
Recipe 1505, score: 1125598810.
Recipe 1506, score: 1255988105.
Recipe 1507, score: 2559881051.
Recipe 1508, score: 5598810510.
Recipe 1509, score: 5988105105.
Recipe 1510, score: 9881051051.
Recipe 1511, score: 8810510510.
Recipe 1512, score: 8105105101.
Recipe 1513, score: 1051051010.
Recipe 1514, score: 0510510108.
Recipe 1515, score: 5105101089.
Recipe 1516, score: 1051010898.
Recipe 1517, score: 0510108986.
Recipe 1518, score: 5101089865.
Recipe 1519, score: 1010898657.
Recipe 1520, score: 0108986576.
Recipe 1521, score: 1089865765.
Recipe 1522, score: 0898657656.
Recipe 1523, score: 8986576569.
Recipe 1524, score: 9865765693.
Recipe 1525, score: 8657656936.
Recipe 1526, score: 6576569367.
Recipe 1527, score: 5765693671.
Recipe 1528, score: 7656936713.
Recipe 1529, score: 6569367131.
Recipe 1530, score: 5693671310.
Recipe 1531, score: 6936713102.
Recipe 1532, score: 9367131027.
Recipe 1533, score: 3671310272.
Recipe 1534, score: 6713102726.
Recipe 1535, score: 7131027268.
Recipe 1536, score: 1310272681.
Recipe 1537, score: 3102726817.
Recipe 1538, score: 1027268177.
Recipe 1539, score: 0272681778.
Recipe 1540, score: 2726817781.
Recipe 1541, score: 7268177813.
Recipe 1542, score: 2681778131.
Recipe 1543, score: 6817781312.
Recipe 1544, score: 8177813122.
Recipe 1545, score: 1778131228.
Recipe 1546, score: 7781312281.
Recipe 1547, score: 7813122817.
Recipe 1548, score: 8131228172.
Recipe 1549, score: 1312281722.
Recipe 1550, score: 3122817221.
Recipe 1551, score: 1228172210.
Recipe 1552, score: 2281722101.
Recipe 1553, score: 2817221010.
Recipe 1554, score: 8172210103.
Recipe 1555, score: 1722101031.
Recipe 1556, score: 7221010310.
Recipe 1557, score: 2210103101.
Recipe 1558, score: 2101031011.
Recipe 1559, score: 1010310116.
Recipe 1560, score: 0103101169.
Recipe 1561, score: 1031011691.
Recipe 1562, score: 0310116912.
Recipe 1563, score: 3101169124.
Recipe 1564, score: 1011691248.
Recipe 1565, score: 0116912481.
Recipe 1566, score: 1169124810.
Recipe 1567, score: 1691248109.
Recipe 1568, score: 6912481099.
Recipe 1569, score: 9124810991.
Recipe 1570, score: 1248109910.
Recipe 1571, score: 2481099101.
Recipe 1572, score: 4810991011.
Recipe 1573, score: 8109910110.
Recipe 1574, score: 1099101102.
Recipe 1575, score: 0991011028.
Recipe 1576, score: 9910110282.
Recipe 1577, score: 9101102821.
Recipe 1578, score: 1011028214.
Recipe 1579, score: 0110282142.
Recipe 1580, score: 1102821421.
Recipe 1581, score: 1028214210.
Recipe 1582, score: 0282142108.
Recipe 1583, score: 2821421081.
Recipe 1584, score: 8214210814.
Recipe 1585, score: 2142108141.
Recipe 1586, score: 1421081411.
Recipe 1587, score: 4210814116.
Recipe 1588, score: 2108141162.
Recipe 1589, score: 1081411626.
Recipe 1590, score: 0814116262.
Recipe 1591, score: 8141162626.
Recipe 1592, score: 1411626269.
Recipe 1593, score: 4116262692.
Recipe 1594, score: 1162626921.
Recipe 1595, score: 1626269211.
Recipe 1596, score: 6262692118.
Recipe 1597, score: 2626921188.
Recipe 1598, score: 6269211881.
Recipe 1599, score: 2692118812.
Recipe 1600, score: 6921188121.
Recipe 1601, score: 9211881211.
Recipe 1602, score: 2118812113.
Recipe 1603, score: 1188121131.
Recipe 1604, score: 1881211310.
Recipe 1605, score: 8812113103.
Recipe 1606, score: 8121131032.
Recipe 1607, score: 1211310328.
Recipe 1608, score: 2113103284.
Recipe 1609, score: 1131032841.
Recipe 1610, score: 1310328410.
Recipe 1611, score: 3103284102.
Recipe 1612, score: 1032841021.
Recipe 1613, score: 0328410211.
Recipe 1614, score: 3284102119.
Recipe 1615, score: 2841021191.
Recipe 1616, score: 8410211914.
Recipe 1617, score: 4102119149.
Recipe 1618, score: 1021191491.
Recipe 1619, score: 0211914913.
Recipe 1620, score: 2119149135.
Recipe 1621, score: 1191491351.
Recipe 1622, score: 1914913514.
Recipe 1623, score: 9149135144.
Recipe 1624, score: 1491351442.
Recipe 1625, score: 4913514425.
Recipe 1626, score: 9135144251.
Recipe 1627, score: 1351442511.
Recipe 1628, score: 3514425116.
Recipe 1629, score: 5144251163.
Recipe 1630, score: 1442511633.
Recipe 1631, score: 4425116331.
Recipe 1632, score: 4251163310.
Recipe 1633, score: 2511633107.
Recipe 1634, score: 5116331071.
Recipe 1635, score: 1163310711.
Recipe 1636, score: 1633107110.
Recipe 1637, score: 6331071105.
Recipe 1638, score: 3310711054.
Recipe 1639, score: 3107110542.
Recipe 1640, score: 1071105421.
Recipe 1641, score: 0711054213.
Recipe 1642, score: 7110542132.
Recipe 1643, score: 1105421326.
Recipe 1644, score: 1054213261.
